DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,DE,2018,18.19,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,DE,2020,24.22,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,DE,2021,25.87,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,DE,2023,31.30,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,ES,2017,4.81,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,ES,2018,6.41,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,ES,2020,6.22,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,ES,2021,7.78,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,ES,2023,8.20,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,ES,2024,9.64,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,ES,2025,11.78,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,PT,2017,9.12,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,PT,2018,10.34,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,PT,2020,16.58,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,PT,2021,17.22,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,PT,2023,19.36,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,SE,2017,27.85,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,SE,2018,30.94,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,SE,2020,34.46,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,SE,2025,32.27,,
ESTAT:ISOC_CICCE_USE(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_CC,PC_ENT,SK,2017,9.83,,
