DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,ES,2018,1.08,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,ES,2020,2.06,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,PT,2018,4.27,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,PT,2020,5.05,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,SE,2018,1.26,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,SE,2020,1.08,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,UK,2018,2.10,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,UK,2020,5.10,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,ES,2018,12.50,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,ES,2020,18.89,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,PT,2018,22.73,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,PT,2020,27.56,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,SE,2018,19.80,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,SE,2020,35.59,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,UK,2018,27.59,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,UK,2020,30.20,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VHI,PC_ENT,ES,2018,0.00,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VHI,PC_ENT,ES,2020,0.03,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VHI,PC_ENT,PT,2018,0.10,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VHI,PC_ENT,PT,2020,0.13,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VHI,PC_ENT,UK,2018,0,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VHI,PC_ENT,UK,2020,0,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,ES,2018,86.41,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,ES,2020,79.02,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,PT,2018,72.91,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,PT,2020,67.26,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,SE,2018,78.93,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,SE,2020,63.33,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,UK,2018,70.31,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,UK,2020,64.70,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DI3_GELO,PC_ENT,ES,2021,22.51,,
