DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DA,PC_ENT,ES,2023,8.52,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DA,PC_ENT,ES,2024,8.89,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DA,PC_ENT,ES,2025,10.60,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DA,PC_ENT,PT,2023,19.87,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DA,PC_ENT,SE,2025,11.85,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DA,PC_ENT_IUSE,ES,2023,10.20,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DA,PC_ENT_IUSE,ES,2024,10.90,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DA,PC_ENT_IUSE,ES,2025,13.45,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DA,PC_ENT_IUSE,PT,2023,22.64,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DA,PC_ENT_IUSE,SE,2025,13.17,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAEXT,PC_ENT,ES,2023,4.71,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAEXT,PC_ENT,ES,2024,4.88,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAEXT,PC_ENT,ES,2025,5.93,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAEXT,PC_ENT,PT,2023,11.29,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAEXT,PC_ENT,SE,2025,5.51,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAEXT,PC_ENT_IUSE,ES,2023,5.63,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAEXT,PC_ENT_IUSE,ES,2024,5.98,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAEXT,PC_ENT_IUSE,ES,2025,7.52,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAEXT,PC_ENT_IUSE,PT,2023,12.87,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAEXT,PC_ENT_IUSE,SE,2025,6.12,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAOWN,PC_ENT,ES,2023,5.86,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAOWN,PC_ENT,ES,2024,5.25,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAOWN,PC_ENT,ES,2025,6.44,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAOWN,PC_ENT,PT,2023,10.63,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAOWN,PC_ENT,SE,2025,9.45,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAOWN,PC_ENT_IUSE,ES,2023,7.02,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAOWN,PC_ENT_IUSE,ES,2024,6.43,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAOWN,PC_ENT_IUSE,ES,2025,8.18,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAOWN,PC_ENT_IUSE,PT,2023,12.11,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DAOWN,PC_ENT_IUSE,SE,2025,10.50,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT,ES,2023,5.17,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT,ES,2024,4.89,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT,ES,2025,5.95,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT,PT,2023,10.51,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT_DAOWN,ES,2023,88.17,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT_DAOWN,ES,2024,93.29,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT_DAOWN,ES,2025,92.43,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT_DAOWN,PT,2023,98.87,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT_IUSE,ES,2023,6.19,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT_IUSE,ES,2024,6.00,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT_IUSE,ES,2025,7.56,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY,PC_ENT_IUSE,PT,2023,11.97,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY2,PC_ENT,ES,2023,2.81,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY2,PC_ENT,ES,2024,2.70,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY2,PC_ENT,ES,2025,2.99,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY2,PC_ENT,PT,2023,6.61,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY2,PC_ENT_DAOWN,ES,2023,47.95,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY2,PC_ENT_DAOWN,ES,2024,51.42,,
ESTAT:ISOC_EB_DAS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_DASANY2,PC_ENT_DAOWN,ES,2025,46.38,,
