DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,DE,2017,22.15,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,DE,2018,14.29,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,DE,2019,11.50,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,DE,2020,11.82,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,DE,2021,13.12,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,DE,2022,15.23,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,DE,2023,13.54,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,DE,2024,16.31,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,ES,2017,4.13,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,ES,2018,4.72,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,ES,2019,5.42,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,ES,2020,9.10,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,ES,2021,9.79,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,ES,2022,12.74,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,ES,2023,13.59,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,ES,2024,12.39,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,ES,2025,8.68,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,FR,2022,6.87,b,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,PT,2017,7.41,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,PT,2018,7.86,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,PT,2019,8.24,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,PT,2020,10.20,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,PT,2021,6.80,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,PT,2022,8.11,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,PT,2023,7.77,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,PT,2024,9.99,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,SE,2017,16.43,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,SE,2018,11.64,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,SE,2019,14.99,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,SE,2020,13.84,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,SE,2021,13.74,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,SE,2022,15.81,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,SK,2017,7.52,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,UK,2017,8.45,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,UK,2018,9.55,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,UK,2019,12.68,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT,UK,2020,9.79,,
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AESELL,PC_ENT_IUSE,DE,2020,12.14,,
