DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,DE,2022,6.33,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,DE,2024,7.10,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,ES,2017,4.02,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,ES,2018,3.80,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,ES,2019,4.27,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,ES,2020,4.31,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,ES,2022,2.33,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,ES,2024,3.67,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,PT,2017,6.57,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,PT,2018,6.90,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,PT,2019,6.84,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,PT,2020,7.63,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,PT,2022,6.70,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,PT,2024,7.18,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,SE,2018,3.37,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,SK,2017,6.07,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,UK,2017,9.85,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,UK,2018,9.82,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,UK,2019,11.03,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT,UK,2020,10.31,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT_CUSE,ES,2017,5.70,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT_CUSE,ES,2018,4.92,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT_CUSE,ES,2019,5.60,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT_CUSE,PT,2017,7.49,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT_CUSE,PT,2018,7.80,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT_CUSE,PT,2019,7.16,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT_CUSE,SE,2018,3.81,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT_CUSE,SK,2017,7.56,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT_CUSE,UK,2017,11.77,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT_CUSE,UK,2018,11.61,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_OR_RCR2,PC_ENT_CUSE,UK,2019,12.31,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,ES,2017,0.23,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,ES,2018,0.17,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,ES,2019,0.20,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,ES,2020,0.10,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,ES,2022,0.10,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,ES,2024,0.15,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,PT,2017,0.57,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,PT,2018,0.41,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,PT,2019,0.70,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,PT,2020,0.45,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,PT,2022,0.44,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,PT,2024,0.60,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,SE,2018,0.31,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,SK,2017,0.32,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,UK,2017,0.62,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,UK,2018,0.73,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,UK,2019,0.63,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT,UK,2020,0.86,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT_CUSE,ES,2017,0.33,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT_CUSE,ES,2018,0.21,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT_CUSE,ES,2019,0.26,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT_CUSE,PT,2017,0.66,,
ESTAT:ISOC_SKE_ITRCRS(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_ITSP2_VAC2,PC_ENT_CUSE,PT,2018,0.46,,
