DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,DE,2022,6.33,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,DE,2024,6.56,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,ES,2017,2.70,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,ES,2018,1.90,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,ES,2019,2.53,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,ES,2020,2.64,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,ES,2022,2.38,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,ES,2024,2.33,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,PT,2017,5.61,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,PT,2018,5.83,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,PT,2019,8.51,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,PT,2020,5.95,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,PT,2022,7.75,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,PT,2024,9.07,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,SE,2018,3.03,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,SK,2017,2.42,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,UK,2017,3.46,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,UK,2018,4.36,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,UK,2019,4.12,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT,UK,2020,2.55,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT_CUSE,ES,2017,3.83,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT_CUSE,ES,2018,2.46,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT_CUSE,ES,2019,3.32,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT_CUSE,PT,2017,6.40,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT_CUSE,PT,2018,6.60,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT_CUSE,PT,2019,8.90,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT_CUSE,SE,2018,3.42,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT_CUSE,SK,2017,3.01,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT_CUSE,UK,2017,4.13,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT_CUSE,UK,2018,5.16,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2X_ITT2,PC_ENT_CUSE,UK,2019,4.60,,
ESTAT:ISOC_SKE_ITTS(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2_ITT2,PC_ENT,DE,2022,3.74,,
