dataflow,last update,freq,size_emp,nace_r2,indic_is,unit,geo,year,value,obs_flag,conf_status,indicator_label,country
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2021,0.84,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2023,1.11,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2024,1.64,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2025,2.43,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,PT,2021,1.07,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,PT,2023,1.53,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT,PT,2024,2.98,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,ES,2021,52.22,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,ES,2023,59.42,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,ES,2024,56.62,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,ES,2025,51.98,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,PT,2021,48.48,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,PT,2023,52.3,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,PT,2024,56.15,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,ES,2021,1.08,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,ES,2023,1.41,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,ES,2024,2.16,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,ES,2025,3.54,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,PT,2021,1.32,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,PT,2023,1.8,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,PT,2024,3.6,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,ES,2021,1.03,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,ES,2023,1.33,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,ES,2024,2.01,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,ES,2025,3.09,,,Barrier: data protection and privacy concerns,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,PT,2021,1.26,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,PT,2023,1.75,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,PT,2024,3.43,,,Barrier: data protection and privacy concerns,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,ES,2021,1.24,,,Barrier: high costs,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,ES,2023,1.29,,,Barrier: high costs,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BCST,PC_ENT,ES,2024,1.39,,,Barrier: high costs,Spain
