geo,year,size_emp,nace_r2,ai_industry__E_AI_BCDP,ai_industry__E_AI_BCST,ai_industry__E_AI_BDDT,ai_industry__E_AI_BEC,ai_industry__E_AI_BIAS,ai_industry__E_AI_BINC,ai_industry__E_AI_BLE,ai_industry__E_AI_BLEG,ai_industry__E_AI_BNU,ai_industry__E_AI_CC,ai_industry__E_AI_CC1SI_DA,ai_industry__E_AI_DA,ai_industry__E_AI_PBAM,ai_industry__E_AI_PITS,ai_industry__E_AI_TML,ai_industry__E_AI_TNLG,ai_industry__E_AI_TPA,target_workflow_automation,isoc_cicce_usen2__E_CC,isoc_cicce_usen2__E_CC1_S,isoc_cicce_usen2__E_CC1_SI,isoc_cicce_usen2__E_CC_DA,isoc_cicce_usen2__E_CC_PCPU,isoc_cicce_usen2__E_CC_PCRM,isoc_cicce_usen2__E_CC_PDEV,isoc_cicce_usen2__E_CC_PERP,isoc_cicce_usen2__E_CC_PSEC,isoc_e_diin2__E_DI3_GELO,isoc_e_diin2__E_DI3_HI,isoc_e_diin2__E_DI3_VHI,isoc_e_diin2__E_DI4_GELO,isoc_e_diin2__E_DI4_HI,isoc_e_diin2__E_DI4_VHI,isoc_eb_dan2__E_DA,isoc_eb_dan2__E_DASANY,isoc_eb_dan2__E_DASCRM,isoc_eb_dan2__E_DASERP,isoc_eb_dan2__E_DASGE3,isoc_eb_dan2__E_DASSDS,isoc_eb_dan2__E_DASWEB,isoc_eb_bdn2__E_BDA,isoc_eb_bdn2__E_BDAEXT,isoc_eb_bdn2__E_BDAINT,isoc_eb_bdn2__E_BDAML,isoc_eb_bdn2__E_BDANL,isoc_ec_eseln2__E_AESELL,isoc_ec_eseln2__E_AWSDS,isoc_ec_eseln2__E_AWSELL,isoc_ec_eseln2__E_AWSFOR,isoc_ec_eseln2__E_AWS_CMP,isoc_ec_eseln2__E_AWS_COWN,isoc_ec_eseln2__E_ESELL,isoc_ske_ittn2__E_ITSPT2,isoc_ske_ittn2__E_ITT2,isoc_ske_ittn2__E_ITUST2,isoc_ske_itrcrn2__E_ITSPDLA,isoc_ske_itrcrn2__E_ITSPDLET,isoc_ske_itrcrn2__E_ITSPDLWE,isoc_ske_itrcrn2__E_ITSPDSAL,isoc_ske_itrcrn2__E_ITSPRCR2,isoc_ske_itrcrn2__E_ITSPVAC2,isoc_r_cicce_usen2__E_CC,isoc_r_eb_dan2__E_DA,isoc_r_eb_ain2_regionmean__E_AI_TML,isoc_r_eb_ain2_regionmean__E_AI_TNLG,isoc_r_cicce_usen2_regionmean__E_CC,isoc_r_eb_dan2_regionmean__E_DA,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_constraint_index,governance_maturity_proxy,country,size_rank
AL,2025,GE10,C,,,,,,,,,,,,,4.326666666666666,17.213333333333335,1.75,0.755,0.535,0.535,20.25,,,6.390000000000001,3.0933333333333333,11.223333333333331,2.8866666666666667,14.416666666666666,15.630000000000003,,,,,,,,51.38333333333333,26.94666666666667,33.62,,4.133333333333333,5.326666666666667,,,,,,7.24,,38.160000000000004,,7.996666666666667,37.126666666666665,,,,,,,,,,,20.25,,1.75,0.755,20.25,,,12.922222222222222,51.38333333333333,,22.630833333333335,,16.421666666666667,Albania,5
AL,2025,GE10,C-E,,,,,,,,,,,,,4.35,15.936666666666667,1.56,0.675,0.48,0.48,19.515,,,6.4350000000000005,3.18,10.796666666666667,2.99,13.726666666666668,15.136666666666665,,,,,,,,53.0,26.25,32.23,,4.659999999999999,6.706666666666666,,,,,,8.04,,38.693333333333335,,9.716666666666667,35.35666666666667,,,,,,,,,,,19.515,,1.56,0.675,19.515,,,12.547222222222222,53.0,,22.951666666666668,,15.536666666666665,Albania,5
AL,2025,GE10,C-F,,,,,,,,,,,,,7.053333333333334,17.19,1.3050000000000002,0.775,0.685,0.685,28.07,,,11.125,7.473333333333333,9.56,7.349999999999999,12.976666666666667,14.943333333333333,,,,,,,,56.77666666666667,24.233333333333334,27.103333333333335,,3.4899999999999998,9.1,,,,,,8.61,,39.07333333333333,,5.596666666666667,37.27333333333333,,,,,,,,,,,28.07,,1.3050000000000002,0.775,28.07,,,16.78777777777778,56.77666666666667,,22.638333333333332,,16.066666666666666,Albania,5
AL,2025,GE10,C10-S951_X_K,,,,,,,,,,,,,8.586666666666666,20.346666666666668,1.5550000000000002,2.8600000000000003,1.1349999999999998,1.1349999999999998,33.775,,,17.37,9.9,12.083333333333334,6.989999999999999,15.036666666666667,20.283333333333335,,,,,,,,54.92666666666667,26.02,30.913333333333338,,7.94,12.343333333333334,,,,,,27.975,,51.98333333333334,,14.826666666666668,45.36000000000001,,,,,,,,,,,33.775,,1.5550000000000002,2.8600000000000003,33.775,,,20.349444444444444,54.92666666666667,,35.03625000000001,,20.315,Albania,5
AL,2025,GE10,D_E,,,,,,,,,,,,,4.59,4.59,0.0,0.0,0.0,0.0,13.445,,,6.785,4.2733333333333325,6.353333333333333,4.2733333333333325,6.353333333333333,10.06,,,,,,,,65.74,22.926666666666666,24.709999999999997,,8.246666666666666,15.903333333333334,,,,,,14.67,,43.11333333333334,,18.173333333333332,28.956666666666663,,,,,,,,,,,13.445,,0.0,0.0,13.445,,,9.259444444444446,65.74,,26.228333333333335,,7.325,Albania,5
AL,2025,GE10,F,,,,,,,,,,,,,14.63,21.176666666666666,0.96,0.91,0.96,0.96,39.535,,,17.41,11.533333333333333,9.02,11.456666666666665,13.033333333333333,15.576666666666668,,,,,,,,61.64000000000001,22.099999999999998,21.383333333333336,,2.1633333333333336,11.953333333333333,,,,,,9.385000000000002,,39.589999999999996,,0.7666666666666666,39.589999999999996,,,,,,,,,,,39.535,,0.96,0.91,39.535,,,22.189444444444444,61.64000000000001,,22.332916666666666,,18.376666666666665,Albania,5
AL,2025,GE10,G,,,,,,,,,,,,,8.736666666666666,15.153333333333334,0.495,2.165,1.395,1.395,43.635000000000005,,,20.03,9.606666666666667,9.513333333333334,4.546666666666667,12.983333333333334,19.24,,,,,,,,52.946666666666665,22.296666666666667,29.75666666666667,,13.476666666666667,9.32,,,,,,38.75,,59.166666666666664,,11.030000000000001,53.79333333333333,,,,,,,,,,,43.635000000000005,,0.495,2.165,43.635000000000005,,,22.47388888888889,52.946666666666665,,40.684999999999995,,17.196666666666665,Albania,5
AL,2025,GE10,G45-S951_X_K,,,,,,,,,,,,,9.243333333333334,21.77,1.72,4.1850000000000005,1.42,1.42,37.379999999999995,,,21.335,11.263333333333334,13.503333333333332,6.846666666666667,16.233333333333334,23.27333333333333,,,,,,,,53.75,27.27333333333333,33.55,,10.979999999999999,14.566666666666668,,,,,,40.245000000000005,,60.163333333333334,,18.316666666666666,51.833333333333336,,,,,,,,,,,37.379999999999995,,1.72,4.1850000000000005,37.379999999999995,,,22.499999999999996,53.75,,42.639583333333334,,22.521666666666665,Albania,5
AL,2025,GE10,H,,,,,,,,,,,,,3.8133333333333326,22.643333333333334,0.455,0.0,0.0,0.0,17.125,,,13.155000000000001,14.62,20.133333333333333,6.71,25.763333333333335,21.33,,,,,,,,52.67666666666667,30.206666666666667,34.35666666666666,,15.543333333333331,21.790000000000003,,,,,,31.295,,54.196666666666665,,22.513333333333332,42.01666666666667,,,,,,,,,,,17.125,,0.455,0.0,17.125,,,15.055,52.67666666666667,,37.50541666666667,,21.986666666666665,Albania,5
AL,2025,GE10,I,,,,,,,,,,,,,3.966666666666667,22.396666666666665,0.95,2.05,0.39,0.39,21.56,,,8.98,5.02,8.283333333333333,2.2533333333333334,7.383333333333333,13.696666666666667,,,,,,,,47.22,26.766666666666666,29.643333333333334,,5.536666666666666,17.383333333333336,,,,,,48.16,,65.44,,30.313333333333333,53.88,,,,,,,,,,,21.56,,0.95,2.05,21.56,,,12.503333333333332,47.22,,49.44833333333333,,18.046666666666667,Albania,5
