dataset,feature,feature_label,importance_mean,importance_std
stage1_sme_size_class,ai__E_AI_TML,ML capability,1.1764342438660567,0.0950645346402332
stage1_sme_size_class,ecommerce_sales__E_AWS_COWN,ecommerce sales  E AWS COWN,0.013457421167873943,0.0016231096683227816
stage1_sme_size_class,deployment_readiness_index,Deployment readiness,0.008550820060686526,0.0015732433096329256
stage1_sme_size_class,ecommerce_sales__E_AWSELL,ecommerce sales  E AWSELL,0.005452166930435144,0.0005545649089114281
stage1_sme_size_class,digital_intensity__E_DI3_VHI,digital intensity  E DI3 VHI,0.003047193146939834,0.0006630269030106256
stage1_sme_size_class,ecommerce_value__E_AWSVAL_B2BG,ecommerce value  E AWSVAL B2BG,0.0021425930325582967,0.0010511030287099572
stage1_sme_size_class,cloud__E_CC_PDEV,Cloud development,0.0019218600439073381,0.0005548936383031315
stage1_sme_size_class,ecommerce_sales__E_AWSFOR,ecommerce sales  E AWSFOR,0.00153494762811567,0.0002612180571458154
stage1_sme_size_class,ai__E_AI_BNU,ai  E AI BNU,0.001358319934437589,0.000946219121208875
stage1_sme_size_class,digital_foundation_index,Digital foundation,0.0012367598761050074,0.002353078250819267
stage1_sme_size_class,ecommerce_value__E_AWSVAL_GT1_B2C_GT10WS,ecommerce value  E AWSVAL GT1 B2C GT10WS,0.000925834006363128,0.00014993268757940766
stage1_sme_size_class,ecommerce_value__E_AWSVAL_COWN,ecommerce value  E AWSVAL COWN,0.000910146751185309,0.00020716584607222488
stage1_sme_size_class,ai__E_AI_TNLG,Natural language generation,0.0008878369905468882,0.00042923299563726397
stage1_sme_size_class,cloud__E_CC_PCPU,cloud  E CC PCPU,0.0008569037953821227,0.00023209927341806915
stage1_sme_size_class,ecommerce_sales__E_AESELL,ecommerce sales  E AESELL,0.0008469946482935106,0.0005435322477846382
stage1_sme_size_class,ai__E_AI_BEC,ai  E AI BEC,0.000814723815397341,0.0005044291683383686
stage1_sme_size_class,market_digitization_index,market digitization index,0.0007834022639539584,0.00018685864977888974
stage1_sme_size_class,ai__E_AI_BCST,ai  E AI BCST,0.000748823014732262,0.0001843569710960047
stage1_sme_size_class,ai__E_AI_BINC,ai  E AI BINC,0.0007139809290529023,0.00016208752038485754
stage1_sme_size_class,ecommerce_sales__E_AWS_CMP,ecommerce sales  E AWS CMP,0.0007054354791309336,0.0003444065491021698
stage1_sme_size_class,ecommerce_value__E_AWSVAL,ecommerce value  E AWSVAL,0.0006713088730553873,0.00019825915115445267
stage1_sme_size_class,ecommerce_value__E_AWSVAL_B2C,ecommerce value  E AWSVAL B2C,0.0006063484835882963,0.00010767991841769644
stage1_sme_size_class,ecommerce_value__T_AWS_CMP_GE20,ecommerce value  T AWS CMP GE20,0.0005837550397816785,0.00019721669207503495
stage1_sme_size_class,ai__E_AI_BLE,ai  E AI BLE,0.0005582228244275789,0.00010430960222111901
stage1_sme_size_class,cloud__E_CC_PDB,cloud  E CC PDB,0.0005199585197761444,0.0007783734123266146
stage1_sme_size_class,ai__E_AI_PITS,ai  E AI PITS,0.0005068701605831227,0.0006486803992598362
stage1_sme_size_class,cloud__E_CC_PCRM,cloud  E CC PCRM,0.00046114806571398437,0.00021767319073616394
