geo,country,year,size_emp,E_AI_BCDP,E_AI_BCST,E_AI_BDDT,E_AI_BEC,E_AI_BIAS,E_AI_BINC,E_AI_BLE,E_AI_BLEG,E_AI_BNU,E_AI_CC,E_AI_CC1SI_DA,E_AI_DA,E_AI_EC,E_AI_PBAM,E_AI_PITS,E_AI_TANY,E_AI_TML,E_AI_TNLG,E_AI_TPA,security_concern_index,efficiency_need_proxy,deployment_readiness_index,governance_maturity_proxy,target_workflow_automation,target_any_ai,is_sme,adoption_gap_vs_any_ai,security_x_efficiency
EU27_2020,EU-27,2021,10-49,,,,,,,,,,,,,,,7.613333333333332,6.18,1.775,1.05,2.1,,1.6416666666666668,,7.613333333333332,2.1,6.18,1,4.08,
EU27_2020,EU-27,2021,50-249,,,,,,,,,,,,,,,11.933333333333335,12.59,4.355,2.0300000000000002,5.085,,3.8233333333333337,,11.933333333333335,5.085,12.59,1,7.505,
EU27_2020,EU-27,2021,GE250,,,,,,,,,,,,,,,20.583333333333332,28.439999999999998,13.065000000000001,5.255,14.58,,10.966666666666669,,20.583333333333332,14.58,28.439999999999998,0,13.859999999999998,
EU27_2020,EU-27,2023,10-49,12.897499999999999,14.17,14.0125,7.015000000000001,,14.105,20.3375,13.92,6.4425,4.755000000000001,2.9850000000000003,3.965,5.8566666666666665,7.47,7.723333333333334,6.45,1.8,1.7850000000000001,2.13,13.779642857142859,3.4299999999999997,3.9016666666666673,7.723333333333334,2.13,6.45,1,4.32,47.264175
EU27_2020,EU-27,2023,50-249,12.5575,13.21,15.7375,5.9025,,16.5575,22.23,13.6725,4.9825,10.690000000000001,8.265,10.335,10.166666666666666,9.143333333333333,13.610000000000001,13.09,4.83,2.83,5.35,14.266785714285716,6.497666666666666,9.763333333333334,13.610000000000001,5.35,13.09,1,7.74,92.70081797619046
EU27_2020,EU-27,2023,GE250,14.819999999999999,13.8675,18.165,5.845,,17.0325,25.0425,14.035,5.194999999999999,28.009999999999998,24.295,27.189999999999998,17.236666666666668,15.530000000000001,25.72,30.490000000000002,14.665,7.745,16.475,15.543928571428571,16.321,26.498333333333335,25.72,16.475,30.490000000000002,0,14.015,253.69245821428572
EU27_2020,EU-27,2024,10-49,15.47,10.577499999999999,14.2,7.875,,13.2175,22.665,16.9425,7.3549999999999995,,,,9.346666666666666,10.569999999999999,7.023333333333333,11.275,3.15,4.609999999999999,3.05,14.421071428571429,5.344999999999999,,7.023333333333333,3.05,11.275,1,8.225000000000001,77.08062678571427
EU27_2020,EU-27,2024,50-249,18.5825,12.98,16.4275,7.8775,,15.842500000000001,26.85,19.3125,5.8025,,,,16.64,13.566666666666665,13.613333333333335,21.009999999999998,7.295,7.895,7.635,16.83892857142857,9.097916666666666,,13.613333333333335,7.635,21.009999999999998,1,13.374999999999998,153.19916889880952
EU27_2020,EU-27,2024,GE250,22.06,13.4675,19.73,8.545,,16.532500000000002,29.132499999999997,21.744999999999997,5.3275,,,,23.06,22.61,28.233333333333334,41.19,20.59,16.65,20.41,18.744642857142857,20.065,,28.233333333333334,20.41,41.19,0,20.779999999999998,376.11125892857143
EU27_2020,EU-27,2025,10-49,17.462500000000002,12.912500000000001,14.525,8.42,,13.87,23.5775,18.224999999999998,6.395,13.395,8.325,10.82,11.083333333333334,12.743333333333332,6.489999999999999,17.095,3.83,7.0,4.154999999999999,15.570357142857144,7.709666666666666,10.846666666666666,6.489999999999999,4.154999999999999,17.095,1,12.94,120.04226345238095
EU27_2020,EU-27,2025,50-249,19.9675,14.245000000000001,16.3475,8.665,,16.0225,26.402500000000003,18.857499999999998,5.2524999999999995,26.21,20.485,24.509999999999998,17.576666666666668,18.743333333333332,14.450000000000001,30.405,8.74,14.815,8.68,17.215357142857147,15.097666666666665,23.735,14.450000000000001,8.68,30.405,1,21.725,259.9117236904762
EU27_2020,EU-27,2025,GE250,24.685,14.61,18.4025,8.905,,15.959999999999999,27.349999999999998,21.5175,4.105,51.775000000000006,46.25,50.915000000000006,22.836666666666662,30.383333333333336,33.276666666666664,55.065,25.064999999999998,31.7,24.435000000000002,18.775714285714287,32.49966666666667,49.64666666666667,33.276666666666664,24.435000000000002,55.065,0,30.629999999999995,610.2044557142858
