geo,country,year,size_emp,ai__E_AI_BCDP,ai__E_AI_BCST,ai__E_AI_BDDT,ai__E_AI_BEC,ai__E_AI_BIAS,ai__E_AI_BINC,ai__E_AI_BLE,ai__E_AI_BLEG,ai__E_AI_BNU,ai__E_AI_CC,ai__E_AI_CC1SI_DA,ai__E_AI_DA,ai__E_AI_EC,ai__E_AI_PBAM,ai__E_AI_PITS,ai__E_AI_TANY,ai__E_AI_TML,ai__E_AI_TNLG,ai__E_AI_TPA,big_data__E_BDA,big_data__E_BDAEXT,big_data__E_BDAINT,big_data__E_BDAML,big_data__E_BDANL,big_data__E_BDBUY,cloud__E_CC,cloud__E_CC1_S,cloud__E_CC1_SI,cloud__E_CC_DA,cloud__E_CC_PCPU,cloud__E_CC_PCRM,cloud__E_CC_PDB,cloud__E_CC_PDEV,cloud__E_CC_PERP,cloud__E_CC_PFIL,cloud__E_CC_PSEC,data_analytics__E_DA,data_analytics__E_DAEXT,data_analytics__E_DAOWN,data_analytics__E_DASANY,data_analytics__E_DASCRM,data_analytics__E_DASERP,data_analytics__E_DASGE3,data_analytics__E_DASSDS,data_analytics__E_DASWEB,digital_intensity__E_DI3_GELO,digital_intensity__E_DI3_HI,digital_intensity__E_DI3_VHI,digital_intensity__E_DI4_GELO,digital_intensity__E_DI4_HI,digital_intensity__E_DI4_VHI,ecommerce_sales__E_AESELL,ecommerce_sales__E_AWSDS,ecommerce_sales__E_AWSELL,ecommerce_sales__E_AWSFOR,ecommerce_sales__E_AWS_CMP,ecommerce_sales__E_AWS_COWN,ecommerce_sales__E_ESELL,ecommerce_value__E_AWSVAL,ecommerce_value__E_AWSVAL_B2BG,ecommerce_value__E_AWSVAL_B2C,ecommerce_value__E_AWSVAL_CMP,ecommerce_value__E_AWSVAL_CMPQ,ecommerce_value__E_AWSVAL_COWN,ecommerce_value__E_AWSVAL_EU,ecommerce_value__E_AWSVAL_GT1_B2C_GT10WS,ecommerce_value__E_AWSVAL_HM,ecommerce_value__E_AWSVAL_WW,ecommerce_value__E_AXSVAL,ecommerce_value__E_ETURN,ecommerce_value__T_AWS_CMP_GE20,ecommerce_value__T_AWS_GT1_B2C_GT10WS,ict_recruitment__E_ITSPDLA,ict_recruitment__E_ITSPDLET,ict_recruitment__E_ITSPDLWE,ict_recruitment__E_ITSPDSAL,ict_recruitment__E_ITSPRCR2,ict_recruitment__E_ITSPVAC2,ict_training__E_ITSPT2,ict_training__E_ITT2,ict_training__E_ITUST2,target_workflow_automation,target_any_ai,security_concern_index,efficiency_need_proxy,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_capability_index,ict_constraint_index,governance_maturity_proxy,is_sme,adoption_gap_vs_any_ai,security_x_efficiency,deployment_x_data_maturity
DK,Denmark,2025,10-249,18.0825,7.19,15.5475,11.39,,12.505,32.980000000000004,19.1475,6.4575,34.64,28.61,32.77,20.096666666666668,14.030000000000001,12.743333333333334,40.99,11.86,29.87,14.32,,,,,,,68.13,74.19,77.21666666666665,47.27,43.776666666666664,36.70333333333333,63.56333333333333,41.96,45.46333333333333,69.68,65.10333333333334,58.82,23.81,49.03,62.333333333333336,39.656666666666666,53.86666666666667,36.556666666666665,10.476666666666667,26.526666666666667,92.45,39.3,25.79,,,,38.06,,46.64333333333334,,15.056666666666665,51.45666666666667,58.45333333333334,19.965,27.37,19.273333333333333,4.503333333333333,0.49,42.13666666666666,,18.8,,,41.405,22.73,4.15,11.35,,,,,,,,,,14.32,40.99,16.691785714285714,31.872222222222224,55.692857142857136,52.57,52.51333333333333,41.93400000000001,,,38.92333333333334,1,26.67,532.0043035714286,2927.7735
FI,Finland,2025,10-249,19.4625,11.155,18.3925,6.5675,,19.935000000000002,28.0675,18.0425,7.785,34.39,23.81,25.24,23.486666666666665,14.426666666666664,10.58,36.41,11.71,18.94,13.78,,,,,,,78.57,71.03,78.96,38.99,22.516666666666666,42.336666666666666,53.85,17.203333333333333,39.64333333333334,73.44333333333333,63.96,43.6,21.66,34.29,55.99333333333334,37.580000000000005,51.85,41.38333333333333,12.786666666666667,37.36666666666667,94.04,43.07,23.69,,,,33.5,7.343333333333334,46.06666666666666,14.04,15.899999999999999,47.93666666666667,48.48666666666667,,,,,,,,,,,,,,,,,,,,,,,,13.78,36.41,17.374642857142856,26.40833333333333,52.56047619047619,46.99222222222222,53.6,33.205555555555556,,,37.27,1,22.629999999999995,458.83536011904755,2469.933577248677
BE,Belgium,2025,10-249,17.0225,11.7475,15.34,9.185,,12.685,24.9325,19.4825,4.9475,26.73,21.0,24.79,11.43,20.856666666666666,11.780000000000001,32.97,9.96,14.45,9.56,,,,,,,60.42,63.4,69.78666666666668,38.62,28.23,34.696666666666665,48.196666666666665,26.27,37.47666666666667,62.61333333333334,56.19,50.62,22.23,42.65,57.94666666666666,38.04666666666667,51.29333333333333,35.12,11.713333333333333,27.150000000000002,84.35,36.83,18.43,,,,30.72,,44.876666666666665,,15.766666666666666,47.23333333333333,52.81333333333333,24.535,34.49666666666666,15.196666666666665,7.186666666666667,2.75,42.50666666666667,,14.823333333333332,,,35.295,19.66,6.23,13.16,,,,,,,,,,9.56,32.97,15.770714285714288,27.23222222222222,46.256666666666675,47.89555555555555,46.53666666666666,38.282,,,33.985,1,23.409999999999997,429.47159603174606,2215.4887481481483
NO,Norway,2025,10-249,13.71,7.2025,11.05,9.275,,10.7575,26.502499999999998,11.899999999999999,3.8275,24.98,15.245000000000001,16.9,12.416666666666666,16.776666666666667,12.483333333333334,28.19,8.86,14.58,9.06,,,,,,,66.59,68.99,75.71,27.240000000000002,34.25666666666667,33.190000000000005,59.949999999999996,28.103333333333335,33.126666666666665,69.74333333333334,57.836666666666666,33.065,16.255,24.225,47.57,26.53333333333333,39.72,29.013333333333335,12.833333333333334,15.933333333333335,83.27,35.05,13.15,,,,27.634999999999998,7.383333333333333,43.91,10.286666666666667,17.43,43.34,51.75666666666667,24.125,23.416666666666668,26.0,7.260000000000001,0.0,42.156666666666666,6.626666666666666,25.563333333333333,40.76,2.0333333333333337,34.675,17.6,5.82,11.89,,,,,,,,,,9.06,28.19,12.913928571428572,21.651944444444442,48.20785714285715,36.54944444444444,43.82333333333333,31.909166666666664,,,35.16,1,19.130000000000003,279.61166398809524,1761.9703964285716
SE,Sweden,2025,10-249,15.2575,7.8100000000000005,13.7075,7.492500000000001,,11.86,23.38,12.344999999999999,5.445,29.985,19.27,21.645,8.263333333333334,19.073333333333334,8.003333333333332,33.68,7.84,18.64,7.9350000000000005,,,,,,,71.25,66.2,75.72333333333334,31.93,31.58,28.746666666666666,49.09666666666667,24.896666666666665,17.216666666666665,69.69666666666667,55.49666666666667,37.005,14.3,32.64,52.623333333333335,42.89333333333334,40.77666666666667,34.63666666666666,13.42,25.176666666666666,86.47,35.31,15.45,,,,35.595,,48.916666666666664,,13.219999999999999,50.72,47.48333333333333,35.105000000000004,35.21333333333333,21.52,2.5966666666666667,0.4666666666666666,54.14000000000001,,21.12666666666667,,,22.96,16.13,4.24,13.69,,,,,,,,,,7.9350000000000005,33.68,13.121785714285712,23.852777777777778,48.97452380952382,41.42166666666666,45.74333333333333,39.187,,,31.75,1,25.744999999999997,312.99103869047616,2028.6064003968254
LT,Lithuania,2025,10-249,,,,,,,,,,16.2,13.52,16.39,17.256666666666664,15.546666666666667,11.736666666666666,20.25,4.11,6.18,7.89,,,,,,,56.91,62.64000000000001,67.33,38.56,36.86,16.22,38.57333333333333,16.616666666666664,11.986666666666666,48.85666666666666,56.82333333333333,52.77,11.12,47.55,62.99333333333334,32.9,30.813333333333333,28.513333333333335,14.893333333333333,20.323333333333334,73.51,28.8,12.94,,,,42.53,8.556666666666667,59.446666666666665,23.616666666666664,52.57,28.146666666666665,52.02666666666667,47.805,44.31333333333333,20.89,28.319999999999997,21.016666666666666,36.89,18.106666666666666,20.433333333333334,39.03666666666667,8.056666666666667,10.6,16.81,26.96,18.9,,,,,,,,,,7.89,20.25,,24.915000000000003,41.43428571428571,48.09222222222223,38.416666666666664,40.54611111111111,,,34.28,1,12.36,,1992.6668761904764
NL,Netherlands,2025,10-249,15.64,7.175,12.015,6.8549999999999995,,11.305,26.384999999999998,12.502500000000001,4.16,27.93,22.26,25.5,11.386666666666665,20.790000000000003,9.756666666666666,31.87,8.63,15.35,7.59,,,,,,,67.62,70.79333333333334,75.29,43.47,29.013333333333332,45.01666666666667,63.176666666666655,26.656666666666666,36.156666666666666,68.06,63.61333333333334,54.7,23.24,41.84,56.48333333333333,37.88333333333333,48.01,30.816666666666666,11.516666666666666,23.28,88.76,41.95,20.24,,,,27.99,6.1866666666666665,45.23666666666667,23.49333333333333,15.813333333333333,46.76,43.449999999999996,29.445,32.18666666666667,20.77,6.239999999999999,1.8533333333333333,46.72333333333333,10.226666666666667,20.49,40.21666666666666,2.5166666666666666,29.044999999999998,16.98,4.71,11.73,,,,,,,,,,7.59,31.87,13.125357142857142,27.25722222222222,50.59476190476191,47.333333333333336,50.31666666666667,30.906111111111112,,,36.685,1,24.28,357.76077638888887,2394.8187301587304
LU,Luxembourg,2025,10-249,18.3625,13.217500000000001,15.61,11.670000000000002,,13.44,26.340000000000003,18.765,6.0025,22.8,13.59,18.59,11.606666666666667,14.643333333333333,8.963333333333333,32.945,6.16,13.370000000000001,6.96,,,,,,,47.15,55.37,59.44333333333333,24.155,20.036666666666665,24.706666666666667,43.78333333333333,20.566666666666666,20.123333333333335,48.94,44.849999999999994,37.349999999999994,11.23,30.39,50.953333333333326,25.646666666666665,43.52,25.570000000000004,7.003333333333333,14.610000000000001,76.68,29.46,8.82,,,,14.175,,37.876666666666665,26.959999999999997,20.87333333333333,32.95666666666667,30.186666666666667,,,,,,,,,,,48.32,,,,,,,,,,,,,6.96,32.945,16.772142857142857,21.572777777777773,37.68142857142857,37.95777777777777,38.32,27.213666666666665,,,26.906666666666663,1,25.985,361.82171071428564,1430.3032920634917
DE,Germany,2025,10-249,22.3075,12.174999999999999,16.305,8.44,,17.055,26.955,23.2975,6.947500000000001,19.735,11.875,15.58,16.353333333333335,13.553333333333333,9.24,24.965,5.5,8.379999999999999,6.49,,,,,,,52.92,48.28,58.47333333333333,25.325,19.58,15.266666666666666,27.13,16.18,15.800000000000002,48.56666666666666,40.050000000000004,36.25,11.125,30.28,45.73,19.606666666666666,35.46666666666666,22.126666666666665,6.796666666666667,18.086666666666666,73.55,27.38,9.49,,,,22.439999999999998,,42.51666666666667,20.926666666666666,23.923333333333332,38.35333333333333,42.876666666666665,32.214999999999996,28.423333333333332,26.383333333333336,16.756666666666668,,38.053333333333335,7.06,26.03,44.93666666666667,2.6166666666666667,23.28,10.99,9.27,11.26,,,,,,,,,,6.49,24.965,18.076428571428572,19.317222222222224,35.35904761904762,34.70222222222222,36.806666666666665,34.022000000000006,,,24.645000000000003,1,18.475,349.1863876984127,1227.037528042328
MT,Malta,2025,10-249,10.155000000000001,14.365000000000002,10.3275,6.15,,14.155,20.6725,11.5375,6.77,19.035,12.504999999999999,13.254999999999999,16.2,9.360000000000001,10.893333333333333,20.47,6.225,5.905,6.345,,,,,,,74.985,62.09666666666667,71.72,34.04,31.24,26.786666666666665,46.32666666666666,24.040000000000003,26.653333333333336,69.53666666666668,50.413333333333334,37.89,10.43,32.84,55.22666666666667,29.49,45.48666666666667,23.376666666666665,6.256666666666667,18.356666666666666,83.5,36.68,16.05,,,,35.585,,53.24333333333333,15.670000000000002,18.11,51.24666666666667,51.556666666666665,40.555,22.406666666666666,37.96333333333333,11.303333333333333,1.9666666666666666,49.06666666666666,,37.56333333333333,,,16.805,14.72,,24.33,,,,,,,,,,6.345,20.47,12.480357142857144,20.15861111111111,44.97071428571429,38.83111111111111,45.410000000000004,41.94833333333334,,,30.653333333333332,1,14.125,251.58666617063494,1746.2628031746033
