feature,importance_mean,importance_std
ai__E_AI_TML,0.8754406093143147,0.08329995411035335
security_concern_index,0.1255780012824586,0.01734909611667116
geo,0.07912492671864486,0.014344628433785154
data_analytics__E_DASANY,0.07798135967167526,0.012994600452156124
data_maturity_index,0.0645393037982651,0.0113394182827516
ai__E_AI_BLEG,0.05818976813690025,0.01061748000632591
data_analytics__E_DAOWN,0.04455490783218717,0.008568963805629715
digital_intensity__E_DI3_VHI,0.02428770577663322,0.0051456164491683765
cloud__E_CC_PDEV,0.02085172276929804,0.004488469037301039
cloud__E_CC_DA,0.019921207361365174,0.006650379975460509
data_analytics__E_DASWEB,0.019862621354443312,0.0054955837341610515
ai__E_AI_PITS,0.013780196986194723,0.004562227579822632
market_digitization_index,0.0133657407805806,0.005414610501638662
ai__E_AI_PBAM,0.011853886310017,0.005882899026611441
ecommerce_value__E_ETURN,0.011589608688693112,0.0041029272663729785
deployment_readiness_index,0.010718039958172061,0.003347059520240309
cloud__E_CC,0.009075608043982513,0.004550497571288442
ai__E_AI_BCST,0.009024948227994257,0.0032690825489846823
ecommerce_value__E_AWSVAL,0.007424484346818457,0.002429847588371386
ecommerce_sales__E_AWSELL,0.006863558671830043,0.003025973022337857
ecommerce_value__E_AWSVAL_B2BG,0.006512398227409033,0.002155880143583198
ai__E_AI_BINC,0.006359553722713148,0.0016337594140624387
cloud__E_CC1_SI,0.005408722728521057,0.0025489001560462248
size_emp,0.005111707866704866,0.0028283190217010656
ecommerce_value__E_AWSVAL_WW,0.004585362448320936,0.0021823762129771504
digital_foundation_index,0.0041967893115636605,0.0035966348600032253
cloud__E_CC_PSEC,0.003932117026318826,0.002049410018574364
data_analytics__E_DASSDS,0.0037887537631731546,0.0019439281281955834
cloud__E_CC_PCRM,0.0037651072640357388,0.00478786806985281
ecommerce_value__E_AXSVAL,0.003682577741487525,0.004874184452097434
ecommerce_value__T_AWS_CMP_GE20,0.003370761456216735,0.0022842986623124637
ai__E_AI_BDDT,0.00292691719667163,0.001199328413540179
cloud__E_CC1_S,0.0026573452663441505,0.001418101492215004
ecommerce_value__T_AWS_GT1_B2C_GT10WS,0.002267869217170541,0.0035782113531711867
digital_intensity__E_DI3_GELO,0.0022381889648969812,0.002093726819022032
data_analytics__E_DAEXT,0.0021206249530309066,0.0019539362306458656
cloud__E_CC_PERP,0.0017955873704512718,0.0011080542318893968
data_analytics__E_DASGE3,0.00177778414407197,0.0031172934452524757
ecommerce_sales__E_AWS_COWN,0.0015447868999706959,0.0013104694597926335
data_analytics__E_DASCRM,0.0015364480673112654,0.002784832808477277
