stage,model,feature,importance_mean,importance_std,阶段
stage1,ridge,E_AI_TANY,0.58982039539112,0.0218243807529039,Stage 1
stage1,ridge,E_AI_TML,0.5276105478366163,0.0196923670331126,Stage 1
stage1,ridge,E_AI_DA,0.1433011052220542,0.010096879015447,Stage 1
stage1,ridge,E_AI_CC1SI_DA,0.1191016886405023,0.0053204449593264,Stage 1
stage1,ridge,E_AI_CC,0.1173983482275505,0.0077040479858059,Stage 1
stage1,ridge,deployment_readiness_index,0.0924291077824101,0.0055420311611551,Stage 1
stage1,ridge,E_AI_TNLG,0.039564196038847,0.004384148723359,Stage 1
stage1,ridge,E_AI_BLEG,0.0263907640324135,0.0010686696303214,Stage 1
stage2,extra_trees_cpu_research,ai_industry__E_AI_TML,0.4687126979709881,0.0194741479420058,Stage 2
stage2,extra_trees_cpu_research,ai_industry__E_AI_TNLG,0.0811239224915624,0.0016006559040762,Stage 2
stage2,extra_trees_cpu_research,ai_industry__E_AI_CC,0.0509834766175843,0.0011736160724922,Stage 2
stage2,extra_trees_cpu_research,digital_foundation_index,0.0464111795454927,0.0136139622364125,Stage 2
stage2,extra_trees_cpu_research,deployment_readiness_index,0.0330078752570126,0.0005540111905384,Stage 2
stage2,extra_trees_cpu_research,country,0.023034972614677,0.0002349756612233,Stage 2
stage2,extra_trees_cpu_research,governance_maturity_proxy,0.0226449213277344,0.0001204989453665,Stage 2
stage2,extra_trees_cpu_research,isoc_cicce_usen2__E_CC1_S,0.0210207560721079,0.001898387267221,Stage 2
