DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT,ES,2023,5.74,,
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT,ES,2024,5.66,,
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT,ES,2025,5.49,,
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT,PT,2023,13.36,,
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT_IUSE,ES,2023,6.88,,
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT_IUSE,ES,2024,6.94,,
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT_IUSE,ES,2025,6.97,,
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT_IUSE,PT,2023,15.23,,
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT,ES,2023,1.40,,
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT,ES,2024,1.44,,
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT,ES,2025,1.95,,
