DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD,PC_ENT,ES,2018,2.05,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD,PC_ENT,PT,2018,5.21,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD,PC_ENT,SE,2018,4.84,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD,PC_ENT_CUSE,ES,2018,2.65,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD,PC_ENT_CUSE,PT,2018,5.89,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD,PC_ENT_CUSE,SE,2018,5.46,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD3,PC_ENT,ES,2018,1.78,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD3,PC_ENT,PT,2018,4.71,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD3,PC_ENT,SE,2018,4.36,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD3,PC_ENT_BD,ES,2018,86.90,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD3,PC_ENT_BD,PT,2018,90.48,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD3,PC_ENT_BD,SE,2018,90.02,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD3,PC_ENT_CUSE,ES,2018,2.31,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD3,PC_ENT_CUSE,PT,2018,5.33,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BD3,PC_ENT_CUSE,SE,2018,4.92,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDA,PC_ENT,ES,2020,3.05,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDA,PC_ENT,PT,2020,4.68,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDA,PC_ENT,UK,2020,16.49,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDA,PC_ENT_IUSE,ES,2020,4.00,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDA,PC_ENT_IUSE,PT,2020,5.46,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDA,PC_ENT_IUSE,UK,2020,18.38,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDAAM,PC_ENT,ES,2020,2.17,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDAAM,PC_ENT,PT,2020,4.24,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDAAM,PC_ENT,UK,2020,0.07,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDAAM,PC_ENT_IUSE,ES,2020,2.84,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDAAM,PC_ENT_IUSE,PT,2020,4.94,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDAAM,PC_ENT_IUSE,UK,2020,0.08,,
ESTAT:ISOC_EB_BD(1.0),12/12/24 11:00:00,A,0-9,C10-S951_X_K,E_BDAEXT,PC_ENT,ES,2020,1.06,,
