DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,DE,2022,6.33,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,DE,2024,7.10,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,ES,2017,3.27,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,ES,2018,2.89,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,ES,2019,2.85,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,ES,2020,2.30,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,ES,2022,1.13,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,ES,2024,1.75,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,PT,2017,6.20,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,PT,2018,6.22,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,PT,2019,6.50,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,PT,2020,7.23,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,PT,2022,6.15,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,PT,2024,6.87,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,SE,2018,3.03,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,SE,2020,5.05,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,SE,2022,6.16,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,SE,2024,5.87,b,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,SK,2017,5.42,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,UK,2017,9.43,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,UK,2018,9.60,,
ESTAT:ISOC_SKE_ITSPE(1.0),10/02/25 23:00:00,A,0-9,C10-S951_X_K,E_ITSP2,PC_ENT,UK,2019,10.53,,
