geo,country,year,size_emp,E_AI_BCDP,E_AI_BCST,E_AI_BDDT,E_AI_BEC,E_AI_BIAS,E_AI_BINC,E_AI_BLE,E_AI_BLEG,E_AI_BNU,E_AI_CC,E_AI_CC1SI_DA,E_AI_DA,E_AI_EC,E_AI_PBAM,E_AI_PITS,E_AI_TANY,E_AI_TML,E_AI_TNLG,E_AI_TPA,security_concern_index,efficiency_need_proxy,deployment_readiness_index,governance_maturity_proxy,target_workflow_automation,target_any_ai,is_sme,adoption_gap_vs_any_ai,security_x_efficiency
DK,Denmark,2025,10-249,18.0825,7.19,15.5475,11.39,,12.505,32.980000000000004,19.1475,6.4575,34.64,28.61,32.77,20.096666666666668,14.030000000000001,12.743333333333334,40.99,11.86,29.87,14.32,16.691785714285714,20.57,32.00666666666667,12.743333333333334,14.32,40.99,1,26.67,343.3500321428572
FI,Finland,2025,10-249,19.4625,11.155,18.3925,6.5675,,19.935000000000002,28.0675,18.0425,7.785,34.39,23.81,25.24,23.486666666666665,14.426666666666664,10.58,36.41,11.71,18.94,13.78,17.374642857142856,16.819333333333333,27.813333333333333,10.58,13.78,36.41,1,22.629999999999995,292.2299097619047
BE,Belgium,2025,10-249,17.0225,11.7475,15.34,9.185,,12.685,24.9325,19.4825,4.9475,26.73,21.0,24.79,11.43,20.856666666666666,11.780000000000001,32.97,9.96,14.45,9.56,15.770714285714288,15.923333333333336,24.173333333333336,11.780000000000001,9.56,32.97,1,23.409999999999997,251.12234047619054
NO,Norway,2025,10-249,13.71,7.2025,11.05,9.275,,10.7575,26.502499999999998,11.899999999999999,3.8275,24.98,15.245000000000001,16.9,12.416666666666666,16.776666666666667,12.483333333333334,28.19,8.86,14.58,9.06,12.913928571428572,13.235333333333335,19.041666666666668,12.483333333333334,9.06,28.19,1,19.130000000000003,170.92014928571433
SE,Sweden,2025,10-249,15.2575,7.8100000000000005,13.7075,7.492500000000001,,11.86,23.38,12.344999999999999,5.445,29.985,19.27,21.645,8.263333333333334,19.073333333333334,8.003333333333332,33.68,7.84,18.64,7.9350000000000005,13.121785714285712,15.026666666666667,23.63333333333333,8.003333333333332,7.9350000000000005,33.68,1,25.744999999999997,197.17669999999998
LT,Lithuania,2025,10-249,,,,,,,,,,16.2,13.52,16.39,17.256666666666664,15.546666666666667,11.736666666666666,20.25,4.11,6.18,7.89,,10.023333333333333,15.37,11.736666666666666,7.89,20.25,1,12.36,
NL,Netherlands,2025,10-249,15.64,7.175,12.015,6.8549999999999995,,11.305,26.384999999999998,12.502500000000001,4.16,27.93,22.26,25.5,11.386666666666665,20.790000000000003,9.756666666666666,31.87,8.63,15.35,7.59,13.125357142857142,15.572,25.23,9.756666666666666,7.59,31.87,1,24.28,204.3880614285714
LU,Luxembourg,2025,10-249,18.3625,13.217500000000001,15.61,11.670000000000002,,13.44,26.340000000000003,18.765,6.0025,22.8,13.59,18.59,11.606666666666667,14.643333333333333,8.963333333333333,32.945,6.16,13.370000000000001,6.96,16.772142857142857,11.944666666666667,18.326666666666668,8.963333333333333,6.96,32.945,1,25.985,200.33765571428572
DE,Germany,2025,10-249,22.3075,12.174999999999999,16.305,8.44,,17.055,26.955,23.2975,6.947500000000001,19.735,11.875,15.58,16.353333333333335,13.553333333333333,9.24,24.965,5.5,8.379999999999999,6.49,18.076428571428572,9.900666666666666,15.729999999999999,9.24,6.49,24.965,1,18.475,178.9686938095238
MT,Malta,2025,10-249,10.155000000000001,14.365000000000002,10.3275,6.15,,14.155,20.6725,11.5375,6.77,19.035,12.504999999999999,13.254999999999999,16.2,9.360000000000001,10.893333333333333,20.47,6.225,5.905,6.345,12.480357142857144,8.218,14.931666666666667,10.893333333333333,6.345,20.47,1,14.125,102.56357500000001
ES,Spain,2025,10-249,18.205000000000002,16.1425,16.2675,7.9275,,12.07,28.049999999999997,17.462500000000002,4.605,12.855,9.575,14.1,11.926666666666668,12.493333333333334,7.0,19.225,4.915,8.239999999999998,6.05,16.589285714285715,9.159666666666666,12.176666666666668,7.0,6.05,19.225,1,13.175,151.9523273809524
