geo,country,year,size_emp,ai__E_AI_BCDP,ai__E_AI_BCST,ai__E_AI_BDDT,ai__E_AI_BEC,ai__E_AI_BIAS,ai__E_AI_BINC,ai__E_AI_BLE,ai__E_AI_BLEG,ai__E_AI_BNU,ai__E_AI_CC,ai__E_AI_CC1SI_DA,ai__E_AI_DA,ai__E_AI_EC,ai__E_AI_PBAM,ai__E_AI_PITS,ai__E_AI_TANY,ai__E_AI_TML,ai__E_AI_TNLG,ai__E_AI_TPA,big_data__E_BDA,big_data__E_BDAEXT,big_data__E_BDAINT,big_data__E_BDAML,big_data__E_BDANL,big_data__E_BDBUY,cloud__E_CC,cloud__E_CC1_S,cloud__E_CC1_SI,cloud__E_CC_DA,cloud__E_CC_PCPU,cloud__E_CC_PCRM,cloud__E_CC_PDB,cloud__E_CC_PDEV,cloud__E_CC_PERP,cloud__E_CC_PFIL,cloud__E_CC_PSEC,data_analytics__E_DA,data_analytics__E_DAEXT,data_analytics__E_DAOWN,data_analytics__E_DASANY,data_analytics__E_DASCRM,data_analytics__E_DASERP,data_analytics__E_DASGE3,data_analytics__E_DASSDS,data_analytics__E_DASWEB,digital_intensity__E_DI3_GELO,digital_intensity__E_DI3_HI,digital_intensity__E_DI3_VHI,digital_intensity__E_DI4_GELO,digital_intensity__E_DI4_HI,digital_intensity__E_DI4_VHI,ecommerce_sales__E_AESELL,ecommerce_sales__E_AWSDS,ecommerce_sales__E_AWSELL,ecommerce_sales__E_AWSFOR,ecommerce_sales__E_AWS_CMP,ecommerce_sales__E_AWS_COWN,ecommerce_sales__E_ESELL,ecommerce_value__E_AWSVAL,ecommerce_value__E_AWSVAL_B2BG,ecommerce_value__E_AWSVAL_B2C,ecommerce_value__E_AWSVAL_CMP,ecommerce_value__E_AWSVAL_CMPQ,ecommerce_value__E_AWSVAL_COWN,ecommerce_value__E_AWSVAL_EU,ecommerce_value__E_AWSVAL_GT1_B2C_GT10WS,ecommerce_value__E_AWSVAL_HM,ecommerce_value__E_AWSVAL_WW,ecommerce_value__E_AXSVAL,ecommerce_value__E_ETURN,ecommerce_value__T_AWS_CMP_GE20,ecommerce_value__T_AWS_GT1_B2C_GT10WS,ict_recruitment__E_ITSPDLA,ict_recruitment__E_ITSPDLET,ict_recruitment__E_ITSPDLWE,ict_recruitment__E_ITSPDSAL,ict_recruitment__E_ITSPRCR2,ict_recruitment__E_ITSPVAC2,ict_training__E_ITSPT2,ict_training__E_ITT2,ict_training__E_ITUST2,target_workflow_automation,target_any_ai,security_concern_index,efficiency_need_proxy,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_capability_index,ict_constraint_index,governance_maturity_proxy,is_sme,adoption_gap_vs_any_ai,security_x_efficiency,deployment_x_data_maturity
EU27_2020,EU-27,2010,10-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.93,,,,,,50.875,,,,,,,,,,,,5.06,,,,,,,,,,,,,,,,,,,31.9025,,,,1,,,
EU27_2020,EU-27,2010,50-249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.07,,,,,,54.790000000000006,,,,,,,,,,,,11.51,,,,,,,,,,,,,,,,,,,37.93000000000001,,,,1,,,
EU27_2020,EU-27,2010,GE250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.21,,,,,,60.324999999999996,,,,,,,,,,,,18.56,,,,,,,,,,,,,,,,,,,46.7675,,,,0,,,
EU27_2020,EU-27,2011,10-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78,,46.835,,,,48.61,25.715,,,,,,,,,,27.215,4.52,,,,,,,,,,,,,,,,,,,36.074999999999996,,,,1,,,
EU27_2020,EU-27,2011,50-249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.45,,39.79,,,,53.48,17.415,,,,,,,,,,37.945,10.72,,,,,,,,,,,,,,,,,,,38.57333333333333,,,,1,,,
EU27_2020,EU-27,2011,GE250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.17,,38.34,,,,59.635000000000005,13.565,,,,,,,,,,45.875,18.54,,,,,,,,,,,,,,,,,,,44.715,,,,0,,,
EU27_2020,EU-27,2012,10-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.58,,46.625,,,,49.095,27.11,31.77,19.96666666666667,,,,,,,,25.225,4.68,,,,,,,4.95,14.593333333333334,4.890000000000001,13.87,12.07,,,,,,,,36.43333333333333,8.945,14.593333333333334,,1,,,
EU27_2020,EU-27,2012,50-249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.49,,41.905,,,,54.309999999999995,16.465,29.383333333333336,15.01,,,,,,,,38.935,10.8,,,,,,,14.315000000000001,16.51,21.335,36.375,30.759999999999998,,,,,,,,39.901666666666664,25.69625,16.51,,1,,,
EU27_2020,EU-27,2012,GE250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.12,,40.339999999999996,,,,61.015,16.09,29.84,14.183333333333332,,,,,,,,43.64,19.64,,,,,,,37.269999999999996,26.25666666666667,50.905,64.995,54.879999999999995,,,,,,,,46.49166666666667,52.0125,26.25666666666667,,0,,,
EU27_2020,EU-27,2013,10-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.35,,47.705000000000005,,,,47.574999999999996,27.91,31.39,20.45,,,,,19.536666666666665,,,24.395,4.6,,5.17,,,,,,,,,,,,,,,,,36.54333333333333,,,,1,,,
EU27_2020,EU-27,2013,50-249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.39,,41.61,,,,53.765,16.29,29.48,14.663333333333334,,,,,14.226666666666667,,,39.22,11.0,,7.45,,,,,,,,,,,,,,,,,39.92166666666667,,,,1,,,
EU27_2020,EU-27,2013,GE250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.56,,40.72,,,,60.265,15.67,27.733333333333334,16.03,,,,,15.566666666666668,,,43.12,18.18,,13.13,,,,,,,,,,,,,,,,,46.51500000000001,,,,0,,,
EU27_2020,EU-27,2014,10-49,,,,,,,,,,,,,,,,,,,,,,,,,,17.05333333333333,,,,5.9025,7.3774999999999995,14.334999999999999,,,18.4975,,,,,,,,,,,,,,,,,15.26,,45.255,,,,48.114999999999995,24.830000000000002,31.473333333333333,18.400000000000002,,,,,17.849999999999998,,,28.020000000000003,5.69,,5.48,,,,,5.17,13.1,5.975,16.29,14.120000000000001,,,,,17.05333333333333,,,36.21,10.388750000000002,13.1,,1,,,
EU27_2020,EU-27,2014,50-249,,,,,,,,,,,,,,,,,,,,,,,,,,22.066666666666666,,,,7.7175,9.6025,16.8075,,,21.900000000000002,,,,,,,,,,,,,,,,,24.75,,42.285000000000004,,,,54.084999999999994,18.58,32.22,13.463333333333333,,,,,13.11,,,37.035000000000004,11.23,,6.79,,,,,13.48,15.833333333333334,22.375,37.83,31.93,,,,,22.066666666666666,,,40.373333333333335,26.40375,15.833333333333334,,1,,,
