dataset,feature,feature_label,importance_mean,importance_std
stage1_sme_size_class,ai__E_AI_TML,ML capability,1.1764342438660567,0.09506453464023329
stage1_sme_size_class,ecommerce_sales__E_AWS_COWN,ecommerce sales  E AWS COWN,0.013457421167874064,0.0016231096683227426
stage1_sme_size_class,deployment_readiness_index,Deployment readiness,0.008550820060686646,0.0015732433096328935
stage1_sme_size_class,ecommerce_sales__E_AWSELL,ecommerce sales  E AWSELL,0.005452166930435247,0.0005545649089114494
stage1_sme_size_class,digital_intensity__E_DI3_VHI,digital intensity  E DI3 VHI,0.003047193146939964,0.0006630269030106038
stage1_sme_size_class,ecommerce_value__E_AWSVAL_B2BG,ecommerce value  E AWSVAL B2BG,0.00214259303255838,0.001051103028709932
stage1_sme_size_class,cloud__E_CC_PDEV,Cloud development,0.00192186004390744,0.0005548936383031164
stage1_sme_size_class,ecommerce_sales__E_AWSFOR,ecommerce sales  E AWSFOR,0.0015349476281157903,0.0002612180571458275
stage1_sme_size_class,ai__E_AI_BNU,ai  E AI BNU,0.0013583199344377184,0.0009462191212088961
stage1_sme_size_class,digital_foundation_index,Digital foundation,0.0012367598761050906,0.0023530782508192783
stage1_sme_size_class,ecommerce_value__E_AWSVAL_GT1_B2C_GT10WS,ecommerce value  E AWSVAL GT1 B2C GT10WS,0.000925834006363239,0.00014993268757938012
stage1_sme_size_class,ecommerce_value__E_AWSVAL_COWN,ecommerce value  E AWSVAL COWN,0.0009101467511854014,0.00020716584607221122
stage1_sme_size_class,ai__E_AI_TNLG,Natural language generation,0.00088783699054699,0.000429232995637274
stage1_sme_size_class,cloud__E_CC_PCPU,cloud  E CC PCPU,0.0008569037953822337,0.00023209927341806322
stage1_sme_size_class,ecommerce_sales__E_AESELL,ecommerce sales  E AESELL,0.000846994648293603,0.0005435322477846415
stage1_sme_size_class,ai__E_AI_BEC,ai  E AI BEC,0.0008147238153974704,0.0005044291683383465
stage1_sme_size_class,market_digitization_index,market digitization index,0.0007834022639540325,0.00018685864977889305
stage1_sme_size_class,ai__E_AI_BCST,ai  E AI BCST,0.000748823014732373,0.00018435697109599224
stage1_sme_size_class,ai__E_AI_BINC,ai  E AI BINC,0.0007139809290530134,0.00016208752038485497
stage1_sme_size_class,ecommerce_sales__E_AWS_CMP,ecommerce sales  E AWS CMP,0.0007054354791310447,0.00034440654910217856
stage1_sme_size_class,ecommerce_value__E_AWSVAL,ecommerce value  E AWSVAL,0.0006713088730555076,0.00019825915115444657
stage1_sme_size_class,ecommerce_value__E_AWSVAL_B2C,ecommerce value  E AWSVAL B2C,0.0006063484835883981,0.00010767991841768179
