dataset,feature,feature_label,coef_std,std_err,t,p_value,significant_05,direction
Stage 1 SME规模层,ai__E_AI_TML,机器学习能力,7.588479140545461,0.28021912960147655,27.08051784807726,3.1493764003181983e-102,True,positive
Stage 1 SME规模层,ai__E_AI_TNLG,自然语言生成,-0.31682957733573813,0.2049321962020869,-1.5460214803110168,0.12269289232881113,False,negative
Stage 1 SME规模层,deployment_readiness_index,部署准备度,0.43931771804971875,0.24203102545437147,1.8151297637357673,0.07006585976373682,False,positive
Stage 1 SME规模层,data_maturity_index,数据成熟度,0.5538521160218737,0.35108360126424365,1.5775505151122566,0.11526219689991724,False,positive
Stage 1 SME规模层,digital_foundation_index,数字基础,0.14162256473205836,0.22211082813117083,0.6376211638291721,0.5239941233283113,False,positive
Stage 1 SME规模层,market_digitization_index,市场数字化,-0.019623796594292336,0.16326380155170866,-0.1201968618137139,0.9043724970899709,False,negative
Stage 1 SME规模层,ict_constraint_index,ICT人才约束,0.009962869659496554,0.12416382743370127,0.08023971123809263,0.9360767251505808,False,positive
Stage 1 SME规模层,governance_maturity_proxy,治理成熟度,-0.1154606177297749,0.1740559858113259,-0.66335332962885,0.5073910826532796,False,negative
Stage 1 SME规模层,cloud__E_CC_PDEV,云开发能力,1.1424457678175133,0.20572960476947372,5.553142286437864,4.4325766496991745e-08,True,positive
Stage 1 SME规模层,cloud__E_CC_DA,云数据分析,-0.9597866583189496,0.403012669633354,-2.3815297399759863,0.01759094405681745,True,negative
Stage 2 行业验证层,deployment_readiness_index,部署准备度,0.33215263294449565,0.11708594143895147,2.8368276230471254,0.004572212862523315,True,positive
Stage 2 行业验证层,data_maturity_index,数据成熟度,0.06294719441156275,0.05822804731362524,1.0810459446204586,0.27972160013557296,False,positive
Stage 2 行业验证层,digital_foundation_index,数字基础,0.5150987021056445,0.07325149858689807,7.031920329856244,2.2715813143257765e-12,True,positive
Stage 2 行业验证层,market_digitization_index,市场数字化,-0.05682768532862586,0.05284422137839297,-1.0753812592243368,0.282248777252921,False,negative
Stage 2 行业验证层,ict_constraint_index,ICT人才约束,0.12193337544862246,0.05186685401764724,2.350892063110974,0.01876174486811234,True,positive
Stage 2 行业验证层,governance_maturity_proxy,治理成熟度,0.43961327830835945,0.0667064720759582,6.590264252136956,4.777814423961934e-11,True,positive
Stage 2 行业验证层,ai_industry__E_AI_TML,行业机器学习能力,4.193386785287186,0.08027284969591247,52.239166806366846,0.0,True,positive
Stage 2 行业验证层,ai_industry__E_AI_TNLG,行业自然语言生成,1.2318995478549506,0.07809936471713952,15.773489993377636,6.465801131739313e-55,True,positive
Stage 2 行业验证层,security_concern_index,安全顾虑指数,-0.038291030330814,0.05041731568920956,-0.7594817337530158,0.44759528693744205,False,negative
Stage 2 行业验证层,isoc_cicce_usen2__E_CC,行业云使用,-0.023422796102661188,0.09718371064908535,-0.2410156593756449,0.8095514945346787,False,negative
