feature,missing_rate,nonnull
ai_industry__E_AI_TPA,0.0,5814
market_digitization_index,0.0173718610251118,5713
ai_industry__E_AI_TML,0.026659786721706227,5659
governance_maturity_proxy,0.027347781217750257,5655
ai_industry__E_AI_TNLG,0.03422772617819057,5615
digital_foundation_index,0.03594771241830065,5605
isoc_ec_eseln2__E_AWSELL,0.05108359133126935,5517
isoc_ec_eseln2__E_AESELL,0.05503955968352253,5494
isoc_ec_eseln2__E_ESELL,0.05521155830753354,5493
ai_industry__E_AI_PITS,0.05761953904368765,5479
isoc_ec_eseln2__E_AWS_CMP,0.058307533539731685,5475
isoc_ec_eseln2__E_AWS_COWN,0.08720330237358101,5307
deployment_readiness_index,0.23426212590299278,4452
isoc_cicce_usen2__E_CC_PDEV,0.2550739594083247,4331
isoc_cicce_usen2__E_CC_PERP,0.25834193326453386,4312
isoc_cicce_usen2__E_CC_PCPU,0.26367389060887514,4281
isoc_cicce_usen2__E_CC_PCRM,0.26401788785689717,4279
isoc_cicce_usen2__E_CC1_SI,0.2671138630890953,4261
isoc_cicce_usen2__E_CC_PSEC,0.2695218438252494,4247
isoc_cicce_usen2__E_CC1_S,0.2719298245614035,4233
isoc_e_diin2__E_DI3_VHI,0.29858961128310973,4078
security_concern_index,0.30323357413140695,4051
ai_industry__E_AI_PBAM,0.30478156174750604,4042
isoc_cicce_usen2__E_CC,0.31028551771585827,4010
isoc_e_diin2__E_DI3_GELO,0.31836945304437564,3963
isoc_e_diin2__E_DI3_HI,0.3194014447884417,3957
ai_industry__E_AI_BLE,0.32232542139662884,3940
ai_industry__E_AI_BCST,0.3240454076367389,3930
ai_industry__E_AI_BDDT,0.326625386996904,3915
ai_industry__E_AI_BLEG,0.32696938424492605,3913
ai_industry__E_AI_BCDP,0.3302373581011352,3894
ai_industry__E_AI_BINC,0.3340213278293774,3872
ai_industry__E_AI_BNU,0.3384932920536636,3846
ai_industry__E_AI_BEC,0.3433092535259718,3818
isoc_ec_eseln2__E_AWSFOR,0.34829721362229105,3789
ai_industry__E_AI_CC,0.4953560371517028,2934
data_maturity_index,0.5141038871689027,2825
isoc_eb_dan2__E_DASSDS,0.5151358789129687,2819
ai_industry__E_AI_DA,0.5170278637770898,2808
ai_industry__E_AI_CC1SI_DA,0.5180598555211559,2802
isoc_cicce_usen2__E_CC_DA,0.522703818369453,2775
isoc_eb_dan2__E_DASANY,0.5232198142414861,2772
isoc_eb_dan2__E_DASWEB,0.523563811489508,2770
isoc_eb_dan2__E_DASGE3,0.5278637770897833,2745
isoc_eb_dan2__E_DASCRM,0.5287237702098383,2740
isoc_eb_dan2__E_DA,0.5287237702098383,2740
isoc_eb_dan2__E_DASERP,0.5288957688338494,2739
isoc_ske_itrcrn2__E_ITSPRCR2,0.7567939456484348,1414
isoc_ske_ittn2__E_ITSPT2,0.7585139318885449,1404
ict_constraint_index,0.7602339181286549,1394
isoc_ske_ittn2__E_ITUST2,0.7616099071207431,1386
isoc_ske_ittn2__E_ITT2,0.7616099071207431,1386
isoc_ske_itrcrn2__E_ITSPVAC2,0.7669418644650843,1355
isoc_e_diin2__E_DI4_VHI,0.7688338493292054,1344
isoc_e_diin2__E_DI4_GELO,0.7695218438252494,1340
isoc_e_diin2__E_DI4_HI,0.7733058135534916,1318
isoc_r_eb_ain2_regionmean__E_AI_TNLG,0.7937736498108016,1199
isoc_r_eb_ain2_regionmean__E_AI_TML,0.7939456484348125,1198
isoc_ske_itrcrn2__E_ITSPDLA,0.7991056071551428,1168
isoc_ske_itrcrn2__E_ITSPDSAL,0.8011695906432749,1156
isoc_ske_itrcrn2__E_ITSPDLET,0.8022015823873409,1150
isoc_ske_itrcrn2__E_ITSPDLWE,0.8023735810113519,1149
isoc_r_cicce_usen2__E_CC,0.8520811833505332,860
isoc_r_cicce_usen2_regionmean__E_CC,0.8541451668386653,848
isoc_r_eb_dan2__E_DA,0.8584451324389405,823
isoc_r_eb_dan2_regionmean__E_DA,0.8624011007911937,800
isoc_ec_eseln2__E_AWSDS,0.890264877880977,638
ai_industry__E_AI_BIAS,0.9117647058823529,513
isoc_eb_bdn2__E_BDAEXT,1.0,0
isoc_eb_bdn2__E_BDAML,1.0,0
isoc_eb_bdn2__E_BDAINT,1.0,0
isoc_eb_bdn2__E_BDA,1.0,0
isoc_eb_bdn2__E_BDANL,1.0,0
