geo,country,year,size_emp,E_AI_BCDP,E_AI_BCST,E_AI_BDDT,E_AI_BEC,E_AI_BIAS,E_AI_BINC,E_AI_BLE,E_AI_BLEG,E_AI_BNU,E_AI_CC,E_AI_CC1SI_DA,E_AI_DA,E_AI_EC,E_AI_PBAM,E_AI_PITS,E_AI_TANY,E_AI_TML,E_AI_TNLG,E_AI_TPA,security_concern_index,efficiency_need_proxy,deployment_readiness_index,governance_maturity_proxy,target_workflow_automation,target_any_ai,is_sme,adoption_gap_vs_any_ai,security_x_efficiency
AL,Albania,2021,10-249,,,,,,,,,,,,,,,,3.49,,,,,,,,,3.49,1,,
AL,Albania,2021,10-49,,,,,,,,,,,,,,,,2.92,,,,,,,,,2.92,1,,
AL,Albania,2021,50-249,,,,,,,,,,,,,,,,6.2,,,,,,,,,6.2,1,,
AL,Albania,2021,GE250,,,,,,,,,,,,,,,,14.38,,,,,,,,,14.38,0,,
AL,Albania,2025,10-249,,,,,,,,,,,,,,8.54,19.87333333333333,8.685,1.4049999999999998,2.7300000000000004,1.0950000000000002,,3.4425,,19.87333333333333,1.0950000000000002,8.685,1,7.59,
AL,Albania,2025,10-49,,,,,,,,,,,,,,7.776666666666667,19.87,7.925000000000001,1.21,2.7350000000000003,1.065,,3.1966666666666668,,19.87,1.065,7.925000000000001,1,6.860000000000001,
AL,Albania,2025,50-249,,,,,,,,,,,,,,11.456666666666665,20.330000000000002,12.705,2.41,2.6799999999999997,1.24,,4.446666666666666,,20.330000000000002,1.24,12.705,1,11.465,
AL,Albania,2025,GE250,,,,,,,,,,,,,,10.923333333333332,33.54,24.78,9.12,9.33,3.06,,8.108333333333333,,33.54,3.06,24.78,0,21.720000000000002,
AT,Austria,2021,10-249,8.807500000000001,15.4175,12.280000000000001,3.8775,,15.290000000000001,17.1625,9.040000000000001,8.9475,,,,7.213333333333334,,5.386666666666667,8.18,3.25,0.94,2.26,11.696428571428573,2.15,,5.386666666666667,2.26,8.18,1,5.92,25.14732142857143
AT,Austria,2021,10-49,8.7025,15.0725,11.467500000000001,4.4350000000000005,,14.5825,16.585,9.015,9.1525,,,,6.3999999999999995,,4.536666666666666,7.17,2.675,0.96,1.8050000000000002,11.40857142857143,1.8133333333333332,,4.536666666666666,1.8050000000000002,7.17,1,5.365,20.68754285714286
AT,Austria,2021,50-249,9.677499999999998,17.580000000000002,16.0625,1.94,,18.84,20.3125,9.622499999999999,8.637500000000001,,,,12.536666666666667,,8.65,14.575,6.925,0.81,5.165,13.433571428571428,4.3,,8.65,5.165,14.575,1,9.41,57.764357142857136
AT,Austria,2021,GE250,8.857500000000002,14.45,20.7375,2.555,,14.239999999999998,23.009999999999998,9.2675,7.5600000000000005,,,,19.233333333333334,,11.776666666666666,31.73,18.68,3.38,14.21,13.3025,12.089999999999998,,11.776666666666666,14.21,31.73,0,17.52,160.82722499999997
AT,Austria,2023,10-249,13.262500000000001,10.5175,13.9975,7.335000000000001,,14.2125,20.5025,14.877500000000001,8.700000000000001,7.734999999999999,4.41,5.4350000000000005,10.286666666666667,11.520000000000001,10.763333333333334,10.105,4.16,2.37,3.085,13.529285714285717,5.314,5.859999999999999,10.763333333333334,3.085,10.105,1,7.0200000000000005,71.8946242857143
AT,Austria,2023,10-49,13.3825,10.625,13.3725,7.4575000000000005,,13.76,19.8375,15.032499999999999,8.7975,6.645,3.63,4.494999999999999,9.33,11.516666666666667,9.783333333333333,8.989999999999998,3.42,2.21,2.565,13.352500000000003,4.841333333333333,4.923333333333333,9.783333333333333,2.565,8.989999999999998,1,6.424999999999999,64.64390333333334
AT,Austria,2023,50-249,13.382499999999999,10.567499999999999,17.2725,7.175,,16.77,24.237500000000004,14.927500000000002,8.6875,14.43,9.22,11.18,16.353333333333335,12.053333333333333,14.85666666666667,16.91,8.65,3.37,6.25,14.904642857142857,8.300666666666668,11.61,14.85666666666667,6.25,16.91,1,10.66,123.71847214285717
