geo,country,year,size_emp,target_workflow_automation,target_any_ai,security_concern_index,deployment_readiness_index,governance_maturity_proxy,E_AI_BLE,E_AI_BCST,persona_cluster
AL,Albania,2025,10-249,1.0950000000000002,8.685,,,19.87333333333333,,,1
AL,Albania,2025,10-49,1.065,7.925000000000001,,,19.87,,,1
AL,Albania,2025,50-249,1.24,12.705,,,20.330000000000002,,,1
AT,Austria,2021,10-249,2.26,8.18,11.696428571428573,,5.386666666666667,17.1625,15.4175,0
AT,Austria,2021,10-49,1.8050000000000002,7.17,11.40857142857143,,4.536666666666666,16.585,15.0725,0
AT,Austria,2021,50-249,5.165,14.575,13.433571428571428,,8.65,20.3125,17.580000000000002,0
AT,Austria,2023,10-249,3.085,10.105,13.529285714285717,5.859999999999999,10.763333333333334,20.5025,10.5175,0
AT,Austria,2023,10-49,2.565,8.989999999999998,13.352500000000003,4.923333333333333,9.783333333333333,19.8375,10.625,0
AT,Austria,2023,50-249,6.25,16.91,14.904642857142857,11.61,14.85666666666667,24.237500000000004,10.567499999999999,2
AT,Austria,2024,10-249,4.395,19.4,15.650714285714287,,7.536666666666666,24.3575,10.407499999999999,2
AT,Austria,2024,10-49,3.6900000000000004,17.869999999999997,15.05285714285714,,6.69,23.2875,10.350000000000001,2
AT,Austria,2024,50-249,8.86,29.105,19.508214285714285,,11.673333333333334,31.002499999999998,11.3975,2
AT,Austria,2025,10-249,5.8100000000000005,28.775,16.25714285714286,14.983333333333333,7.73,25.805,10.335,2
AT,Austria,2025,10-49,5.12,26.23,16.070714285714285,12.836666666666666,6.1866666666666665,25.5125,10.16,2
AT,Austria,2025,50-249,10.09,44.56,17.798928571428572,28.33,15.15,28.245,11.6425,3
BA,Bosnia and Herzegovina,2021,10-249,0.635,1.935,,,,,,0
BA,Bosnia and Herzegovina,2021,50-249,1.07,1.93,,,,,,0
BA,Bosnia and Herzegovina,2023,10-249,3.21,5.18,,2.81,,,,0
BA,Bosnia and Herzegovina,2023,10-49,3.66,5.47,,2.92,,,,0
BA,Bosnia and Herzegovina,2023,50-249,1.31,3.96,,1.7766666666666666,4.536666666666666,,,0
