geo,country,year,size_emp,target_workflow_automation,target_any_ai,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_capability_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
AL,Albania,2025,10-249,1.0950000000000002,8.685,,20.016111111111112,54.74,,35.00833333333333,,,19.851666666666667,0
AL,Albania,2025,10-49,1.065,7.925000000000001,,18.69388888888889,55.03,,36.27041666666667,,,19.35,0
AL,Albania,2025,50-249,1.24,12.705,,26.74388888888889,53.23333333333333,,29.554166666666664,,,22.498333333333335,0
AT,Austria,2021,10-249,2.26,8.18,11.696428571428573,32.746,,30.533333333333335,36.79166666666667,,,17.233333333333334,0
AT,Austria,2021,10-49,1.8050000000000002,7.17,11.40857142857143,31.333333333333332,,28.436666666666667,36.24166666666667,,,16.418333333333333,0
AT,Austria,2021,50-249,5.165,14.575,13.433571428571428,41.40200000000001,,43.913333333333334,40.52966666666667,,,21.331666666666667,2
AT,Austria,2023,10-249,3.085,10.105,13.529285714285717,28.024047619047618,28.991111111111113,27.46666666666667,35.403999999999996,,,23.173333333333336,0
AT,Austria,2023,10-49,2.565,8.989999999999998,13.352500000000003,26.312142857142863,27.462222222222223,25.12,34.760333333333335,,,21.811666666666664,0
AT,Austria,2023,50-249,6.25,16.91,14.904642857142857,38.030952380952385,38.157777777777774,41.916666666666664,39.63733333333333,,,30.178333333333335,2
AT,Austria,2024,10-249,4.395,19.4,15.650714285714287,,,35.56333333333333,38.79833333333333,12.885000000000002,26.961000000000002,7.536666666666666,2
AT,Austria,2024,10-49,3.6900000000000004,17.869999999999997,15.05285714285714,,,33.083333333333336,38.247,10.055,25.391,6.69,2
AT,Austria,2024,50-249,8.86,29.105,19.508214285714285,,,51.330000000000005,42.42033333333333,30.8825,32.36,11.673333333333334,4
AT,Austria,2025,10-249,5.8100000000000005,28.775,16.25714285714286,33.5447619047619,29.364444444444448,36.14666666666667,38.11233333333333,,,23.36333333333333,2
AT,Austria,2025,10-49,5.12,26.23,16.070714285714285,31.33857142857142,27.363333333333333,33.946666666666665,37.69633333333333,,,21.413333333333334,2
AT,Austria,2025,50-249,10.09,44.56,17.798928571428572,46.68714285714286,41.25555555555556,49.833333333333336,40.952666666666666,,,33.805,3
BA,Bosnia and Herzegovina,2021,10-249,0.635,1.935,,20.372666666666667,,13.323333333333332,32.03033333333333,,,22.546666666666667,0
BA,Bosnia and Herzegovina,2021,50-249,1.07,1.93,,22.68133333333333,,19.946666666666665,35.04266666666667,,,21.756666666666664,0
BA,Bosnia and Herzegovina,2023,10-249,3.21,5.18,,26.323,35.59666666666667,27.11,34.77166666666666,,,29.53,0
BA,Bosnia and Herzegovina,2023,10-49,3.66,5.47,,24.304,34.16166666666667,24.73,33.797333333333334,,,27.366666666666664,0
BA,Bosnia and Herzegovina,2023,50-249,1.31,3.96,,24.639285714285712,41.72833333333333,25.616666666666664,38.81466666666667,,,20.84166666666667,0
BA,Bosnia and Herzegovina,2024,10-249,4.18,6.125,,,,22.810000000000002,35.562,11.32,27.310000000000002,,0
BA,Bosnia and Herzegovina,2024,10-49,4.62,6.45,,,,20.87333333333333,34.855666666666664,9.3025,26.645000000000003,,0
BA,Bosnia and Herzegovina,2024,50-249,2.33,4.78,,,,30.866666666666664,38.49666666666666,19.6975,29.3,11.246666666666668,0
BA,Bosnia and Herzegovina,2025,10-249,2.38,10.48,,21.634523809523813,34.251111111111115,28.62666666666667,35.43033333333334,,,15.315,0
BA,Bosnia and Herzegovina,2025,50-249,2.3,10.63,,27.546190476190475,41.89111111111111,35.35666666666666,39.118,,,32.94,2
BE,Belgium,2021,10-249,2.54,9.3,12.024285714285712,45.388666666666666,,30.696666666666662,37.345333333333336,,,28.85,2
BE,Belgium,2021,10-49,1.99,8.0,11.754285714285714,43.919333333333334,,28.976666666666663,36.707333333333324,,,28.293333333333333,2
BE,Belgium,2021,50-249,5.76,16.89,14.002142857142855,53.95066666666666,,40.74,41.42,,,32.193333333333335,1
BE,Belgium,2023,10-249,4.22,12.53,11.3125,36.76761904761905,42.544444444444444,38.443333333333335,37.52933333333333,,,29.2,1
BE,Belgium,2023,10-49,3.27,10.61,10.974285714285713,34.77095238095239,39.397777777777776,36.35,36.578,,,27.394999999999996,2
BE,Belgium,2023,50-249,9.39,22.99,12.992500000000001,47.49761904761905,59.22555555555555,49.84333333333333,42.75933333333334,,,36.76166666666667,1
BE,Belgium,2024,10-249,9.12,23.09,12.718571428571428,,,43.68333333333334,38.268,24.01,25.162,17.241666666666667,2
BE,Belgium,2024,10-49,7.66,20.7,12.61535714285714,,,41.23,37.094,19.345,23.641000000000002,14.566666666666665,2
BE,Belgium,2024,50-249,16.87,35.71,13.72535714285714,,,56.666666666666664,44.577333333333335,48.6725,30.752999999999997,26.125,4
BE,Belgium,2025,10-249,9.56,32.97,15.770714285714288,46.256666666666675,47.89555555555555,46.53666666666666,38.282,,,33.985,3
BE,Belgium,2025,10-49,7.34,28.82,15.59107142857143,42.892380952380954,44.08888888888888,44.576666666666675,37.65266666666666,,,30.811666666666664,1
BE,Belgium,2025,50-249,21.08,54.49,17.305357142857144,63.271904761904764,66.97666666666667,56.69,41.763333333333335,,,47.873333333333335,3
BG,Bulgaria,2021,10-249,1.685,3.07,10.786785714285713,19.84433333333333,,11.083333333333334,26.973000000000003,,,11.65,0
BG,Bulgaria,2021,10-49,1.415,2.665,10.546071428571427,18.691333333333336,,9.833333333333334,26.846333333333327,,,10.73,0
BG,Bulgaria,2021,50-249,3.12,5.205,12.133928571428571,25.442000000000004,,17.816666666666666,28.045000000000005,,,15.018333333333334,0
BG,Bulgaria,2023,10-249,1.7349999999999999,3.4299999999999997,11.719999999999999,17.609761904761907,29.335000000000004,12.503333333333332,29.141999999999996,,,14.765000000000002,0
BG,Bulgaria,2023,10-49,1.505,3.0300000000000002,11.336785714285714,16.524761904761906,27.37111111111111,11.053333333333335,28.850666666666665,,,13.31,0
BG,Bulgaria,2023,50-249,2.9800000000000004,5.550000000000001,13.408571428571426,22.78,38.82666666666667,20.296666666666667,30.871999999999996,,,20.14333333333333,0
BG,Bulgaria,2024,10-249,2.74,6.25,12.235,,,22.13,29.589666666666666,6.9399999999999995,18.255000000000003,13.51,0
BG,Bulgaria,2024,10-49,2.3200000000000003,5.575,12.128928571428572,,,20.216666666666665,29.389333333333333,5.6375,17.324,4.223333333333334,0
BG,Bulgaria,2024,50-249,5.085,10.025,12.892142857142858,,,33.02333333333333,30.982333333333333,14.38,21.461,18.14666666666667,0
BG,Bulgaria,2025,10-249,3.55,8.274999999999999,14.364642857142858,19.486428571428572,33.36055555555556,16.999999999999996,25.551388888888884,,,14.675000000000002,0
BG,Bulgaria,2025,10-49,3.13,7.335,14.564999999999998,18.442619047619047,31.478333333333335,15.36,25.41416666666667,,,13.761666666666667,0
