geo,country,year,size_emp,nace_r2,target_workflow_automation,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
AL,Albania,2025,GE10,C,0.535,,12.922222222222222,51.38333333333333,,22.630833333333335,,16.421666666666667,3
AL,Albania,2025,GE10,C-E,0.48,,12.547222222222222,53.0,,22.951666666666668,,15.536666666666665,3
AL,Albania,2025,GE10,C-F,0.685,,16.78777777777778,56.77666666666667,,22.638333333333332,,16.066666666666666,3
AL,Albania,2025,GE10,C10-S951_X_K,1.1349999999999998,,20.349444444444444,54.92666666666667,,35.03625000000001,,20.315,3
AL,Albania,2025,GE10,D_E,0.0,,9.259444444444446,65.74,,26.228333333333335,,7.325,0
AL,Albania,2025,GE10,F,0.96,,22.189444444444444,61.64000000000001,,22.332916666666666,,18.376666666666665,0
AL,Albania,2025,GE10,G,1.395,,22.47388888888889,52.946666666666665,,40.684999999999995,,17.196666666666665,3
AL,Albania,2025,GE10,G45-S951_X_K,1.42,,22.499999999999996,53.75,,42.639583333333334,,22.521666666666665,3
AL,Albania,2025,GE10,H,0.0,,15.055,52.67666666666667,,37.50541666666667,,21.986666666666665,3
AL,Albania,2025,GE10,I,0.39,,12.503333333333332,47.22,,49.44833333333333,,18.046666666666667,3
AL,Albania,2025,GE10,J,3.42,,35.73555555555556,51.826666666666675,,43.39083333333333,,33.138333333333335,5
AL,Albania,2025,GE10,L,3.04,,37.67666666666667,56.526666666666664,,39.2625,,32.38,5
AL,Albania,2025,GE10,L68,3.04,,37.67666666666667,56.526666666666664,,39.2625,,32.38,5
AL,Albania,2025,GE10,L_M,3.01,,31.12111111111111,64.89,,43.23416666666667,,30.749999999999996,1
AL,Albania,2025,GE10,M,3.0,,30.182222222222222,66.17333333333333,,44.27916666666666,,30.553333333333335,1
AL,Albania,2025,GE10,N,0.93,,26.67,62.45666666666667,,41.4025,,35.12833333333334,1
AL,Albania,2025,GE10,S951,3.57,,14.988888888888889,47.620000000000005,,38.91916666666667,,23.071666666666665,3
AT,Austria,2021,GE10,C,3.06,13.867142857142856,31.558000000000003,,30.863333333333333,30.617333333333335,,17.876666666666665,3
AT,Austria,2021,GE10,C-E,3.35,13.627142857142859,31.40833333333333,,31.156666666666666,30.278999999999996,,17.55,3
AT,Austria,2021,GE10,C-F,1.815,12.227857142857145,28.32366666666666,,25.0,26.373,,16.30166666666667,3
AT,Austria,2021,GE10,C10-C12,4.0,11.16,20.606666666666666,,9.120000000000001,10.503333333333334,,17.046666666666667,3
AT,Austria,2021,GE10,C10-C18,2.98,15.240714285714287,28.341999999999995,,25.333333333333332,34.943333333333335,,18.193333333333335,3
AT,Austria,2021,GE10,C10-S951_X_K,2.6100000000000003,11.688214285714285,33.49466666666667,,31.276666666666667,37.00833333333333,,17.63,3
AT,Austria,2021,GE10,C13-C15,0.0,12.378571428571428,,,0.0,,,0.0,3
AT,Austria,2021,GE10,C16-C18,2.03,17.92625,21.898333333333333,,7.7299999999999995,7.583333333333333,,19.11,3
AT,Austria,2021,GE10,C19-C23,2.43,10.345357142857141,17.076666666666668,,15.86,31.758333333333333,,16.55666666666667,3
AT,Austria,2021,GE10,C20,5.9,13.766071428571431,15.94,,6.37,,,7.6866666666666665,3
AT,Austria,2021,GE10,C21,5.88,0.0,,,,11.813333333333333,,5.66,0
AT,Austria,2021,GE10,C22_C23,1.39,9.559642857142856,16.016666666666666,,16.91,15.410000000000002,,20.713333333333335,3
AT,Austria,2021,GE10,C24_C25,3.78,16.210714285714285,23.56833333333333,,11.975,24.859333333333332,,18.686666666666667,3
AT,Austria,2021,GE10,C26,3.73,14.795,,,14.14,10.18,,11.913333333333332,3
AT,Austria,2021,GE10,C26-C33,3.0,13.081071428571429,32.848,,36.88333333333333,28.399333333333328,,15.308333333333335,3
