geo,country,year,size_emp,ai__E_AI_BCDP,ai__E_AI_BCST,ai__E_AI_BDDT,ai__E_AI_BEC,ai__E_AI_BIAS,ai__E_AI_BINC,ai__E_AI_BLE,ai__E_AI_BLEG,ai__E_AI_BNU,ai__E_AI_CC,ai__E_AI_CC1SI_DA,ai__E_AI_DA,ai__E_AI_EC,ai__E_AI_PBAM,ai__E_AI_PITS,ai__E_AI_TANY,ai__E_AI_TML,ai__E_AI_TNLG,ai__E_AI_TPA,big_data__E_BDA,big_data__E_BDAEXT,big_data__E_BDAINT,big_data__E_BDAML,big_data__E_BDANL,big_data__E_BDBUY,cloud__E_CC,cloud__E_CC1_S,cloud__E_CC1_SI,cloud__E_CC_DA,cloud__E_CC_PCPU,cloud__E_CC_PCRM,cloud__E_CC_PDB,cloud__E_CC_PDEV,cloud__E_CC_PERP,cloud__E_CC_PFIL,cloud__E_CC_PSEC,data_analytics__E_DA,data_analytics__E_DAEXT,data_analytics__E_DAOWN,data_analytics__E_DASANY,data_analytics__E_DASCRM,data_analytics__E_DASERP,data_analytics__E_DASGE3,data_analytics__E_DASSDS,data_analytics__E_DASWEB,digital_intensity__E_DI3_GELO,digital_intensity__E_DI3_HI,digital_intensity__E_DI3_VHI,digital_intensity__E_DI4_GELO,digital_intensity__E_DI4_HI,digital_intensity__E_DI4_VHI,ecommerce_sales__E_AESELL,ecommerce_sales__E_AWSDS,ecommerce_sales__E_AWSELL,ecommerce_sales__E_AWSFOR,ecommerce_sales__E_AWS_CMP,ecommerce_sales__E_AWS_COWN,ecommerce_sales__E_ESELL,ecommerce_value__E_AWSVAL,ecommerce_value__E_AWSVAL_B2BG,ecommerce_value__E_AWSVAL_B2C,ecommerce_value__E_AWSVAL_CMP,ecommerce_value__E_AWSVAL_CMPQ,ecommerce_value__E_AWSVAL_COWN,ecommerce_value__E_AWSVAL_EU,ecommerce_value__E_AWSVAL_GT1_B2C_GT10WS,ecommerce_value__E_AWSVAL_HM,ecommerce_value__E_AWSVAL_WW,ecommerce_value__E_AXSVAL,ecommerce_value__E_ETURN,ecommerce_value__T_AWS_CMP_GE20,ecommerce_value__T_AWS_GT1_B2C_GT10WS,ict_recruitment__E_ITSPDLA,ict_recruitment__E_ITSPDLET,ict_recruitment__E_ITSPDLWE,ict_recruitment__E_ITSPDSAL,ict_recruitment__E_ITSPRCR2,ict_recruitment__E_ITSPVAC2,ict_training__E_ITSPT2,ict_training__E_ITT2,ict_training__E_ITUST2,target_workflow_automation,target_any_ai,security_concern_index,efficiency_need_proxy,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_capability_index,ict_constraint_index,governance_maturity_proxy,is_sme,adoption_gap_vs_any_ai,security_x_efficiency,deployment_x_data_maturity
AL,Albania,2021,10-249,,,,,,,,,,,,,,,,3.49,,,,,,,,,,19.615000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.635,,15.723333333333331,34.57,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,,,19.615000000000002,,,20.97611111111111,,,,1,,,
AL,Albania,2021,10-49,,,,,,,,,,,,,,,,2.92,,,,,,,,,,18.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.925,,16.546666666666663,33.36666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,,,18.355,,,20.61277777777778,,,,1,,,
AL,Albania,2021,50-249,,,,,,,,,,,,,,,,6.2,,,,,,,,,,25.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.99,,12.796666666666667,39.47666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,25.58,,,22.754444444444445,,,,1,,,
AL,Albania,2021,GE250,,,,,,,,,,,,,,,,14.38,,,,,,,,,,56.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75,,12.086666666666668,43.193333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,14.38,,,56.85,,,26.01,,,,0,,,
AL,Albania,2022,10-249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.58,,42.013333333333335,,29.786666666666672,36.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.428333333333338,,,,1,,,
AL,Albania,2022,10-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.405000000000001,,41.23,,28.376666666666665,37.083333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.77375,,,,1,,,
AL,Albania,2022,50-249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.75,,45.43666666666667,,34.940000000000005,34.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.46666666666667,,,,1,,,
AL,Albania,2022,GE250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.13,,40.72,,23.78333333333333,44.166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.699999999999996,,,,0,,,
AL,Albania,2025,10-249,,,,,,,,,,,,,,8.54,19.87333333333333,8.685,1.4049999999999998,2.7300000000000004,1.0950000000000002,,,,,,,33.335,,,16.91,9.86,11.963333333333333,11.829999999999998,6.883333333333334,14.666666666666666,17.566666666666666,19.83,,,34.870000000000005,54.74,25.69666666666667,30.616666666666664,,7.863333333333333,12.166666666666666,,,,,,,27.979999999999997,,51.98666666666667,,14.799999999999999,45.26666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1.0950000000000002,8.685,,13.702000000000002,20.016111111111112,54.74,,35.00833333333333,,,19.851666666666667,1,7.59,,1095.6819222222223
AL,Albania,2025,10-49,,,,,,,,,,,,,,7.776666666666667,19.87,7.925000000000001,1.21,2.7350000000000003,1.065,,,,,,,30.915,,,16.455,9.48,10.763333333333334,10.496666666666668,6.336666666666667,13.100000000000001,16.593333333333334,18.83,,,34.825,55.03,24.933333333333337,28.27,,7.363333333333333,11.826666666666666,,,,,,,30.585,,53.723333333333336,,14.37,46.403333333333336,,,,,,,,,,,,,,,,,,,,,,,,,1.065,7.925000000000001,,13.563333333333333,18.69388888888889,55.03,,36.27041666666667,,,19.35,1,6.860000000000001,,1028.7247055555556
AL,Albania,2025,50-249,,,,,,,,,,,,,,11.456666666666665,20.330000000000002,12.705,2.41,2.6799999999999997,1.24,,,,,,,46.185,,,19.295,11.776666666666666,17.396666666666665,17.80666666666667,9.38,21.74,22.223333333333333,24.666666666666668,,,35.115,53.23333333333333,29.736666666666668,43.0,,10.520000000000001,13.93,,,,,,,14.129999999999999,,42.75333333333333,,20.616666666666664,40.71666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1.24,12.705,,14.203999999999999,26.74388888888889,53.23333333333333,,29.554166666666664,,,22.498333333333335,1,11.465,,1423.6663518518517
